text,source,result
"b'Mexico has done more to secure our border in 10 days than Democrats in Congress have in 10 YEARS. The time to put Americans first is now, we must act to fix the crisis on the border!'",twitter,CAG
"b'The Trump administration served as a catalyst for perhaps the largest criminal justice public-private-partnership ever assembled, jobs for formerly incarcerated people as they reenter society. \n\nOpEd \nhttps://www.foxnews.com/opinion/john-koufos-former-prisoner-second-chance-hiring-trump-administration\n \n#FirstStepAct #SecondChanceHiring'",twitter,NAG
"b""Governor Holcomb is working hard alongside @IvankaTrump, Commerce @SecretaryRoss & America's top CEOs to scale Indiana's workforce solutions to the nation -- making sure everyone has the skills to fill the high-wage jobs of today & tomorrow!\n\nCheck it out!""",twitter,NAG
b'',twitter,NAG
b'',twitter,NAG
b'',twitter,NAG
"b'China gets 91% of its Oil from the Straight, Japan 62%, & many other countries likewise. So why are we protecting the shipping lanes for other countries (many years) for zero compensation. All of these countries should be protecting their own ships on what has always been....'",twitter,NAG
b'....a dangerous journey. We dont even need to be there in that the U.S. has just become (by far) the largest producer of Energy anywhere in the world! The U.S. request for Iran is very simple - No Nuclear Weapons and No Further Sponsoring of Terror!',twitter,NAG
"b'Despite a Federal Reserve that doesnt know what it is doing - raised rates far too fast (very low inflation, other parts of world slowing, lowering & easing) & did large scale tightening, $50 Billion/month, we are on course to have one of the best Months of June in US history...'",twitter,NAG
"b'....Think of what it could have been if the Fed had gotten it right. Thousands of points higher on the Dow, and GDP in the 4s or even 5s. Now they stick, like a stubborn child, when we need rates cuts, & easing, to make up for what other countries are doing against us. Blew it!'",twitter,NAG
b'I am pleased to announce the launch of http://tmagac.winred.com. This new platform will allow my campaign and other Republicans to compete with the Democrats money machine. This has been a priority of mine and Im pleased to share that it is up and running! #KeepAmericaGreat',twitter,NAG
"b'Mexico is keeping its promise & now sending 15,000 troops to border to help with crisis. Meanwhile Dems wont fund beds for migrant children. Mexico continues to do more than Congressional Dems to secure our border, and its time for them to STEP UP!'",twitter,NAG
b'Looking forward to being in Miami today to kick off the @TeamTrump Latino Coalition! Under @realDonaldTrump more Hispanic Americans are working today than ever before in history & Hispanic Americans are starting new businesses at nearly 3 times the national average! #MAGA',twitter,NAG
"b""Who thinks the debates just won't be the same without Donna Brazile working on them behind the scenes?""",twitter,CAG
b'Thank you @IvankaTrump for joining me and our Republican Whip Team at the Capitol tonight to talk about the work youre doing alongside @realDonaldTrump to make America great again! ',twitter,NAG
b'Stock Market is heading for one of the best months (June) in the history of our Country. Thank you Mr. President!',twitter,NAG
"b'Iran leadership doesnt understand the words nice or compassion, they never have. Sadly, the thing they do understand is Strength and Power, and the USA is by far the most powerful Military Force in the world, with 1.5 Trillion Dollars invested over the last two years alone..'",twitter,NAG
"b'....The wonderful Iranian people are suffering, and for no reason at all. Their leadership spends all of its money on Terror, and little on anything else. The U.S. has not forgotten Irans use of IEDs & EFPs (bombs), which killed 2000 Americans, and wounded many more...'",twitter,OAG
"b'....Irans very ignorant and insulting statement, put out today, only shows that they do not understand reality. Any attack by Iran on anything American will be met with great and overwhelming force. In some areas, overwhelming will mean obliteration. No more John Kerry & Obama!'",twitter,OAG
"b""First Trump is accused of manufacturing the border crisis. Now it's a big deal. Which is it? And who is responsible? """,twitter,NAG
"b'Trump names new chief White House liar, dissembler and cover-upper. '",twitter,OAG
b'Trump did it again!!  Iran leadership doesnt understand the words nice and compassion... Donald is soooo funny!  ',twitter,CAG
"b'Le monde suspendu  la folie nolibrale  laquelle participe cette putain de classe moyenne aveugle et sourde  tout ce qui ne la concerne pas directement, Macron-Trump mme combat otanesque.'",twitter,NAG
"b""@realDonaldTrump enough is enough. Stop taking in asylum seakers in southern border. Repel them. Do not release them or detain them. Put some damn troops with guns down there and tell them nobody passes. Also, why the hell haven't you sent an atty from the DOJ to supreme court.. """,twitter,CAG
b'#whenMuellerattacks ;\nI cant expect less from a combat over experienced Ranger & USMC born leader.',twitter,NAG
b'',twitter,NAG
"b'@realDonaldTrump @SHSanders45 (cmon Sarah, one more lie from you before you go.)\n\nOur president is a documented serial liar.  Im inclined to believe Ms. Carol and not trust a word hes saying. \n\nThis:'",twitter,OAG
"b'Assuming he stays healthy, Trump is in an amazing position for 5.5 more years as things stand now.'",twitter,NAG
b'Kkkkkkkk!!!! Putin esta ansioso por isso!!!!! Tenta a sorte laranjao!!!! Kkkkkkkkk',twitter,NAG
b'Melania Trump Spokeswoman Stephanie Grisham To Be White House Press Secretary ',twitter,NAG
"b'Omg, you are the WORST PERSON EVER IN AMERICAS WHITEHOUSE EVER!'",twitter,OAG
"b""I don't think you really know the meaning of anti and bigot.""",twitter,CAG
b'How much has @WhiteHouse @realDonaldTrump cost American Tax Payers? https://twitter.com/joyannreid/status/1143515594567946243',twitter,NAG
"b""Who is Stephanie Grisham?\n\nShe's currently Melania Trump's spokeswoman\nShe's worked for the Trumps since 2015\nShe'll now have 2 jobs: White House press secretary and communications director """,twitter,NAG
"b""Except for a reversal on position of DACA, except Trump's properties are among the employers taking advantage of illegal immigrants, except Trump lowered the number of refugees the US will accept.  But, yeah, pretty much the same.""",twitter,CAG
b'Tweet others the way you want to be tweeted!',twitter,CAG
"b""Your whole life is one big blonde moment isn't it?""",twitter,NAG
"b""Bill, what would you have said if Trump would have had the US military level one of Iran's bases? You are a fraud.""",twitter,CAG
b'Trumps Head Of Customs And Border Protection Has Resigned ',twitter,NAG
b'@MarshaBlackburn \n\nPlease do something to defend our freedoms.  Im blocked again in #FB for pisting a joke about President Trump waking up realizing hes really a woman trapped in a toxic male body. \n\n#NoSenseOfHumor\n\n#WarForContolOfOurMinds\n\n#Defend1st',twitter,OAG
"b'Toddlers can just walk out the door of detention camps and be free, but Republicans cant tear themselves away from Trump? '",twitter,CAG
b'The damning allegations against @realDonaldTrump that he sexually assaulted women could jeopardized his re-election campaign. Im no stranger to accountability but #TrumpTheRapist has crossed the line on #SexualMisconduct and its going to stop ! \n\n#TrumpisARapist #DonTheCon',twitter,CAG
"b'You realize these same binding laws kept members of #ElectoralCollege from voting AGAINST Trump in 2016, right?'",twitter,NAG
"b""Opinion | Trump's new Iran sanctions are as erratic as everything else he's done so far https://www.nbcnews.com/think/opinion/trump-s-new-iran-sanctions-are-erratic-everything-else-he-ncna1021241 via @NBCNewsTHINK""",twitter,NAG
b'Venezolanos en Florida: ms cerca de los demcratas pero contentos con Trump ',twitter,NAG
"b""I have an idea. Everytime Rubio or Walker tweet a bible verse reply eith a verse from Revelation.  For example some about 666 isn't the address of a trump or Kushner property?\nAlso lots of verses could be used for the G7.""",twitter,CAG
b'Going to war. Hey these other countries pd traitor Trump and kush. Now they are making it happen. Right from the start ',twitter,CAG
b'And she looks exactly his type...',twitter,CAG
"b""E. Jean Carroll responds to Trump saying she's 'not his type'\n\n""",twitter,CAG
"b""The world doesn't gave saved by Trump. It gets saved when we remove our support for the Gov. \n#qanon""",twitter,CAG
b'Histoire Go avec un gnie. Dessin Sud Ouest. #Iran #Trump #BrevetDesColleges',twitter,NAG
"b'Those responsible for these issues must be prosecuted, including tRump, Pence, McConnell, and all others! Lock the Up with overcrowding, filthy, lice infected, no food water, heat, personal items, and bedding, etc. '",twitter,OAG
"b""Whilst you're the nicest man in the world, full of compassion """,twitter,NAG
b'There shaking in there sandals now!',twitter,NAG
