text_id	text
hasoc_hi_5061	"वक्त, इन्सान और इंग्लैंड का मौसम आपको कभी भी धोखा दे सकता है।

#IndiaVsPakistan"
hasoc_hi_1923	Iss aadmi ki 2 seat aa rehi h AP m ye aise milta phir rha jaise PM yehi banega
hasoc_hi_2090	"#कांग्रेस के इस #कमीने की #करतूत को देखिए देश की रक्षा करते #शहीद हुए मां भारती के #सपूतों का ख्याल भी नहीं रखा #दुश्मन से गले मिल गये 
#शर्मनाक.
ये पूरे शहीद का अपमान किया है।
मैं बहुत कद्र करते थे सिंधु को लेकिन ये तो नकारा है।"
hasoc_hi_2960	"पाकिस्तान को फेकना था फेका गया।
जो हार कर भी दुश्मन को हरा दे उसी को हमने नाम दिया। @BCCI 
ये तुम्हारे समझ के बाहर हैं तुम बॉलीवुड में रंडी रोओ इधर मत घुसो।"
hasoc_hi_864	"जो शब्द
तूम आज किसी और
औरत के लिए यूज कर रहे
वो बचाकर रखना
क्योंकि
यही कल
कोई और कल तुम्हारी माँ
बहन और बेटी के लिये यूज करेगा
तब गुस्सा न करना
क्योंकि
वो तुम्हारे फेंके शब्द तुम्ही को मारेगा....

ये सलाय नहीं सच्चाई है आज के ट्विटर की

इतना गिरा दिया है कि पूछो मत"
hasoc_hi_54	नेता जी हम समाजवादी सिपाही हमेशा आपके साथ है आपका हर लिया गया निर्णय हमे स्वीकार है निवेदन है कि कार्यकर्ताओं पे वरिष्ठ नेता ध्यान दे ये चुनाव भी एक सबक है हमारे लिए कही न कही कार्यकर्ताओं को नजरअंदाज करना भी रख सबब बनाजय समाजवाद जय अखिलेश भइया
hasoc_hi_2352	strong room k bahar Karyakarta mustaid rahe jagte rahe. evm bdle Jane h
hasoc_hi_7164	Sir ,for jal it is necessary of plantation,,that quite hard but not impossible....Each n every roadside should be decorated with big plants ,,,for this each town ,village should take this as necessary step ,,and many fertile land hu is getting builted for residencial site this should be a punishable offences...I havebuilted rain harvesting tank while construction of hom
hasoc_hi_6768	"@narendramodi @AmitShah @BJP4India @BharatKaPM @TeamDeol #AayegaTohModiHi
#BJP4India #BJP #कन्हैया_कुमार ने खोदा कुआँ सिंधिया हारे जुआ
शत्रुघ्न खामोश हुआ राज बब्बर बना चूहा
22 राज्य ने 00 छुआ
खैर जो हुआ सो हुआ
केजरीवाल भी बदहाल हुआ..."
hasoc_hi_163	#कुत्ते भी हो रहे हैं #किडनी और #डायबटीज जैसी #बीमारियों का शिकार, जानें वजह&#8230;
hasoc_hi_1947	VIVAHIT BaitION KO BHI Patrick KIRSI BHOOMI MAIN BAITON K SAMAN U.P MAIN Adhikar KOUN dilanai KI Kirpa karaiga ? Vicharniy pirsn ? Kya vivahit baition k sath anyay hota rahaiga u.p.main ?
hasoc_hi_2088	"#AIMIM Aurangabad MP @imtiaz_jaleel 1st Speech at 17th Lok Sabha. @asadowaisi
@aimim_national"
hasoc_hi_3842	10 एजेंसियों को किसी भी कंप्यूटर की निगरानी और डाटा की जांच का अधिकार दिए जाने के खिलाफ दायर याचिकाओं पर सुप्रीम कोर्ट ने सुनवाई टाली। याचिकाओं में सरकार के आदेश को मनमाना बताया गया है। याचिकाकर्ताओं का कहना है कि सरकार निजता के मौलिक अधिकार का हनन कर रही है
hasoc_hi_7408	"कश्मीर मे सेना पर पत्थर मारने वाले और पत्थरबाजों के हमदर्द,

और,

लस्सी न देने पर मर्डर करने वाले लोग पूछ रहे हैं कि बाइक चोर को क्यो पीटा??

तबरेज की पत्नी को मुआवजा और नौकरी देगा दिल्ली वक्फ बोर्ड।

#तबरेज की मौत पर #मोदी जी ने भी दुख जताया,

ये #ट्विंकल और #भरत_यादव कौन थे??"
hasoc_hi_2341	Barrister Asaduddin Owaisi’s reply to the President’s Address in Lok Sabha.
hasoc_hi_2771	झोंपड़ी के, कुछ दिन पहले तक तो तू उस आदतन 'बाइक चोर' तबरेज के लिये छाती पीट रहा था। हर चैनल पर रंडी रोना मचा रखा था। अब सेक्युलरिज्म का 'अखरोट' अपने पिछवाड़े से तोड़ने की कोशिश कर रहा है। आतंकी साला
hasoc_hi_1823	"अजीब सी बेताबी है
तेरे बिना 

रह भी लेते है और
रहा भी नही जाता"
hasoc_hi_4052	अभी सूअर 6 महीने में दिल्ली में विधानसभा चुनाव है अब हिंदू मुसलमान नहीं होगा तो कब होगा जिसने भी किया है उसे सजा मिलेगी दिल्ली पुलिस कार्रवाई कर रही है धर्म के नाम पर किसी की जिंदगी छीन लेना उसका विरोध होता है नफरत की राजनीति बीजेपी आरएसएस करती है आज तक उनसे कोई सवाल किया है तूने
hasoc_hi_6068	कुछ कमीने #नीच ग्रह में पैदा होते है और वो पैदा होते ही अपने परिवार वालो को अपने #बाप को आस पास के लोगो को नही वरन सारी #कायनात को दुःख देते ही रहते है या फिर बोले तो ये कमीने दुःख देने के लिए ही पैदा होते है, उनमें एक ये #टोटिचोर शामिल है !!!
hasoc_hi_715	"भाई जैसे दिल्ली मे चुनाव आएगा हिन्दू-मुस्लिम की बाते जोरो से होने लगेंगी? हिदुत्व भी खतरे मे जा सकता है

क्योंकि जनता स्कूल हॉस्पिटल जैसे सुविधाओ देने वालो को वोट नही करती हिन्दू-मुस्लिम पे ज्यादा वोट करती है।

जिसका फ़ायदा BJP दिल्ली मे भी उठाना चाहती है।

#TempleTerrorAttack"
hasoc_hi_2180	Pakode talna chalu kr do... mudra scheme se paise mil jayenge.. Bua babua
hasoc_hi_2712	"#PKMKB #PKMKB 
#BalochistanAwamiBudget #freeBalochistan #AFGvPAK #Afghanistan 
@Shehla_Rashid @realshoaibmalik @shoaib100mph @TheRealPCB"
hasoc_hi_2	"बेटा धोनी के बारे में कुछ बुरा बोले ना तो 
क्रिकेट की कसम तुमारी गांड तोड़ देंगे "
hasoc_hi_5233	आदरणीय राष्ट्रीय अध्यक्ष जी से विनम्र निवेदन है उत्तर प्रदेश की बिगड़ती कानून व्यवस्था को लेकर जन आंदोलन छेड़ना चाहिए हम सब आपके साथ हैं समाजवादी लोग संघर्ष और आंदोलन के लिए ही जाने जाते हैं जय समाजवाद
hasoc_hi_770	"देश के #अंदरूनी_दुश्मन_राहुल_गांधी से 
निपटने के लिये तो,,,
#भारतीय_सेना के #डॉग_यूनिट के 
#कुत्ते ही काफ़ी हैं... !!!"
hasoc_hi_6873	"भाई UP में राम राज्य उबाल मार रहा है? हैवानियत और तानशाही रुके से नही रुक रही है।

सरकार हिदुत्व पे वोट लेकर CM से लेकर विधायक तक सब चिलम-गांजा फुक के आराम कर रहे है।

महिला हैवानियत का शिकार हो रही है, बेगुनाह लोग गुंडे का, यहां तक कि अब पत्रकार के ऊपर पेशाब कर दिया जा रहा है।"
hasoc_hi_3409	"संत कबीर डिग्रीधारी नहीं थे लेकिन धार्मिक आडंबरों से मुक्त थे जबकि बहुजन समाज डिग्रीधारी व नौकरी प्राप्त फिर भी तमाम आडंबरों के कीचङ में धँसे हुए हैं !!
#जय_भीम_जय_भारत"
hasoc_hi_447	"@azkhawaja1 Beta jispar tu bhonk raha hai na 
wo aisi shakhsiyat hai ki jab wo choka marte the tab boundary se ball lane tumhara PM @ImranKhanPTI jata tha
"
hasoc_hi_6273	सोनम भाभी संग चुदाई भाभी बोली वीडियो बना रहे 
hasoc_hi_6801	"दिल्ली में 300 मुल्ले मंदिर तोड़ते है 

ओर ये मुल्लो का पिछवाड़ा चाटने वाला केजरीवाल 
झारखंड के चोर मुल्ले को 5लाख देता है भड़वा"
hasoc_hi_5885	रंडी के बच्चे, बिना बाप के, मादरचोद पाकिस्तानी जात  के कुत्ते,  जाके देख रिकॉर्ड  में कैसे मैया  चोदता  था तुम्हारी ये,  भिखारी  देश के भिखारी भड़वे मादरचोद
hasoc_hi_7187	LP Verma वर्मा जी इस समय जिसके स्पोटर है वह लोग नवाजबादी हो गये है
hasoc_hi_3396	"

*वो अपने मोहल्ले को छोटा पाकिस्तान कहते रहे, हम चुप रहे।*

*वो पाकिस्तान की मैच जीतने पर पटाखे फोड़ते रहे, हम चुप रहे।*

*आज वो जवानों के शहीद होने पर जश्न मना रहे, हम आज भी चुप बैठे हैं।*

*भेनचोद हम कब बोलेंगे जब ग़ज़वा ए हिन्द होगा तब?*"
